اللَّه	Allah	O Allah ki, O'ndan başka ilah yoktur	Allah	Er ist Allah, außer Dem es keinen Herrn gibt.	Allah	He is Allah besides Whom there is no god
الرَّحْمَنُ	Er-Rahmân	Dünyada her kuluna karşı merhametli	Ar-Rahman	der Gnädige	Ar-Rahman	The All-Merciful
الرَّحِيمُ	Er-Rahîm	Ahirette sadece mümin kuluna karşı merhametli	Ar-Rahiem	der Barmherzige	Ar-Rahim	The All-Beneficient
الْمَلِكُ	El-Melik	Herşeyin tek sahibi	Al-Malik	der Herrscher und König	Al-Malik	The Absolute Ruler
الْقُدُّوسُ	El-Kuddüs	Bütün noksanlıklardan uzak olan	Al-Qudduus	der Heilige, der Reine, frei allen Makels	Al-Quddus	The Pure One
السَّلاَمُ	Es-Selām	Selamete ulaştıran	As-Salaam	der Retter, der Verleiher des Friedens	As-Salam	The Source of Peace
الْمُؤْمِنُ	El-Mü'min	İman eden kulunu koruyan	Al-Mu'min	der Wahrer der Sicherheit	Al-Mu’min	The Inspirer of Faith
الْمُهَيْمِنُ	El-Müheymin	Gözetip muhafaza eden	Al-Muhaimin	der Beschützer und Bewacher	Al-Muhaymin	The Guardian
الْعَزِيزُ	El-Azîz	Üstün, kuvvetli olan	Al-A'sies	der Erhabene, der Ehrwürdige	Al-’Aziz	The Victorious
الْجَبَّارُ	El-Cebbâr	Dilediğini zorla yaptırmaya muktedir olan	Al-Dschabbaar	der Gewaltige, der Unterwerfer	Al-Jabbar	The Compeller
الْمُتَكَبِّرُ	El-Mütekebbir	Her hadisede büyüklüğünü gösteren	Al-Mutakabbir	der Vornehme, der Stolze	Al-Mutakabbir	The Greatest
الْخَالِقُ	El-Hâlik	Herşeyi yerli yerince yaratan	Al-Chaliq	der Schöpfer	Al-Khaliq	The Creator
الْبَارِئُ	El-Bâri	Herşeyi değişik biçim ve surette yaratan	Al-Bary	der Erschaffer, der alles aus dem Nichts erschuf	Al-Bari’	The Maker of Order
الْمُصَوِّرُ	El-Musavvir	Herşeye şekil veren	Al-Musawwir	der Former, der jedem Ding seine Form und Gestalt gibt	Al-Musawwir	The Shaper of Beauty
الْغَفَّارُ	El-Gaffâr	Günahları bağışlayan	Al-Ghaffar	der große Verzeiher	Al-Ghaffar	The Forgiving
الْقَهَّارُ	El-Kahhâr	Kahredici bir güçle herşeye galip olan	Al-Qahhaar	der Alles-Bezwinger, niemand kann sich Seinem Willen widersetzen	Al-Qahhar	The Subduer
الْوَهَّابُ	El-Vehhâb	Karşılıksız, istemeden veren	Al-Wahhab	der Geber und Verleiher	Al-Wahhab	The Giver of All
الرَّزَّاقُ	Er-Rezzâk	Bütün mahlukatın rıskını veren	Ar-Rassaq	der Versorger	Ar-Razzaq	The Sustainer
الْفَتَّاحُ	El-Fettâh	Her kapıyı açan	Al-Fattah	der Öffnende, der Öffner der Türen	Al-Fattah	The Opener
العَلِيمُ	El-Alîm	Herşeyi bilen	Al-A'liem	der Allwissende	Al-’Alim	The Knower of All
الْقَابِضُ	El-Kābid	Ölüm anında ruhları alan	Al-Qabid	der die Gaben nach Seinem Ermessen zurückhält	Al-Qabid	The Constrictor
الْبَاسِطُ	El-Bâsit	Bağışı çok, ihsanı bol olan	Al-Baaßit	der diese Gaben aber auch ausreichend und großzügig gewährt	Al-Basit	The Reliever
الْخَافِضُ	El-Hâfıd	En yüce mertebeden en aşağı indiren	Al-Chaafid	der Erniedriger der Hochmütigen und zu Unrecht Stolzen	Al-Khafid	The Abaser
الرَّافِعُ	Er-Râfi	Dereceleri yükselten	Ar-Raafi'	der Erhörer der Demütigen und Bescheidenen	Ar-Rafi’	The Exalter
الْمُعِزُّ	El-Muiz	İstediğini aziz eden	Al-Muis	der Verleiher von wirklicher Ehre	Al-Mu’izz	The Bestower of Honors
المُذِلُّ	El-Müzil	Dilediğini zelil eden	Al-Musill	der Demütiger der Unterdrücker ihrer Mitmenschen	Al-Mudhill	The Humiliator
السَّمِيعُ	Es-Semî	Yer ve göklerdeki herşeyi işiten	As-Sami'	der Hörende	As-Sami	The Hearer of All
الْبَصِيرُ	El-Basîr	Herşeyi gören	Al-Basir	der Sehende	Al-Basir	The Seer of All
الْحَكَمُ	El-Hakem	Hüküm sahibi	Al-Hakam	der weise Richter	Al-Hakam	The Judge
الْعَدْلُ	El-Adil	Adalet sahibi	Al-Adl	der Gerechte	Al-’Adl	The Just
اللَّطِيفُ	El-Latîf	Lütuf sahibi	Al-Latief	der das Feinste in allen Dimensionen erfasst, der Feinfühlige, der Gütige	Al-Latif	The Subtle One
الْخَبِيرُ	El-Habîr	Herşeyin gizlisinden haberdar olan	Al-Chabier	der Kundige, der um die kleinsten Rechnungen des Herzens Wissende	Al-Khabir	The All-Aware
الْحَلِيمُ	El-Halîm	Çok yumuşak olan, mühlet tanıyan	Al-Haliem	der Nachsichtige, der Mitfühlende	Al-Halim	The Forebearing
الْعَظِيمُ	El-Azîm	Azametli, pek büyük olan	Al-A'siem	der Grossartige, der Erhabene	Al-’Azim	The Magnificent
الْغَفُورُ	El-Gafûr	Çok bağışlayıcı olan	Al-Ghafur	der immer wieder Verzeihende	Al-Ghafur	The Forgiver and Hider of Faults
الشَّكُورُ	Eş-Şekûr	Yapılan şükrün karşılığını bolca veren	Asch-Schakur	der Dankbare, der seinen Diener auch für die kleinste Tat belohnt	Ash-Shakur	The Rewarder of Thankfulness
الْعَلِيُّ	El-Aliyy	Çok yüce	Al-Aliy	der Höchste	Al-’Ali	The Highest
الْكَبِيرُ	El-Kebîr	En büyük	Al-Kabir	der unvergleichlich Große	Al-Kabir	The Greatest
الْحَفِيظُ	El-Hafîz	Koruyan, muhafaza eden	Al-Hafieth	der Bewahrer, der Erhalter, der die Taten seiner Diener bis zum jüngsten Tag erhält	Al-Hafiz	The Preserver
المُقيِت	El-Mukît	Yaşamak için gıdaları yaratan	Al-Muqiet	der alle Ernährende (sowohl mit materieller als geistiger Nahrung)	Al-Muqit	The Nourisher
الْحسِيبُ	El-Hasîb	Hesaba çeken	Al-Hasieb	der genau Berechnende, der Garant	Al-Hasib	The Accounter
الْجَلِيلُ	El-Celîl	Zatında, sıfatında hiçbir şey kendisine denk olmayan	Al-Dschalil	der Majestätische	Al-Jalil	The Mighty
الْكَرِيمُ	El-Kerîm	Cömert, kerem sahibi	Al-Kariem	der Ehrenvolle, der Großzügige	Al-Karim	The Generous
الرَّقِيبُ	Er-Rakîb	Gözeten, kontrol eden	Al-Raqieb	der Wachsame	Ar-Raqib	The Watchful One
الْمُجِيبُ	El-Mucîb	Dualara icabet eden	Al-Mudschieb	der Erhörer der Gebete	Al-Mujib	The Responder to Prayer
الْوَاسِعُ	El-Vâsi	İhsanı, ilmi kudreti ve rahmeti ile kuşatan	Al-Wasi'	der Weite, der mit Seiner Wohltätigkeit und Seinem Wissen alles Umfassende	Al-Wasi’	The All-Comprehending
الْحَكِيمُ	El-Hakîm	Herşeyin hakikatini seven	Al-Hakiem	der Allweise	Al-Hakim	The Perfectly Wise
الْوَدُودُ	El-Vedûd	Aşkı ile yanan kullarını seven	Al-Wadud	der Liebevolle, der alles mit seiner Liebe Umfassende	Al-Wadud	The Loving One
الْمَجِيدُ	El-Mecîd	Şanı büyük ve yüksek olan	Al-Madschied	der Glorreiche	Al-Majíd	The Majestic One
الْبَاعِثُ	El-Bâis	Gönderen, uyandıran, dirilten	Al-Ba`ith	der die Menschen am jüngsten Tag wieder zum Leben erwecken wird	Al-Ba’ith	The Resurrector
الشَّهِيدُ	Eş-Şehîd	Herşeye sahip olan	Asch-Schahied	der Zeuge	Ash-Shahid	The Witness
الْحَقُّ	El-Hakk	Sözünde sadık olan	Al-Haq	der Wahre, der Wahrhaftige	Al-Haqq	The Truth
الْوَكِيلُ	El-Vekîl	İşlerini kendisine bırakanın işini en iyi şekilde yapan	Al-Wakiel	der Vertrauenswürdige, der Helfer und Bewacher	Al-Wakil	The Trustee
الْقَوِيُّ	El-Kaviyy	Yegane güç ve kuvvet sahibi	Al-Qawi	der Starke	Al-Qawi	The Possessor of All Strength
الْمَتِينُ	El-Metîn	Son derece güçlü	Al-Matien	der Feste, der Dauerhafte, der einzig wirklich Starke 	Al-Matin	The Forceful One
الْوَلِيُّ	El-Velî	Dostlarına yardım eden	Al-Waliy	der Schutzherr eines jeden, der seinen Schutz und seine Leitung braucht	Al-Wáli	The Governor
الْحَمِيدُ	El-Hamîd	Hamde tek layık olan	Al-Hamied	der Preiswürdige, dem aller Dank gehört	Al-Hamid	The Praised One
الْمُحْصِي	El-Muhsî	Her yapılanı hesap eden	Al-Muhsy	der alles Aufzeichnende	Al-Muhsi	The Appraiser
الْمُبْدِئُ	El-Mübdî'	Kainatı yoktan var eden	Al-Mubdi	der Beginnende, der Urheber alles Geschaffenen aus dem Nichts	Al-Mubdi	The Originator
الْمُعِيدُ	El-Muîd	Öldükten sonra dirilten	Al-Mu'ied	der Wiederholdende, alles wieder zum Leben erwecken wird	Al-Mu’id	The Restorer
الْمُحْيِي	El-Muhyî	Ölüleri dirilten	Al-Muhjie	der Lebensspendende	Al-Muhyi	The Giver of Life
الْمُِميتُ	El-Mümît	Eceli geleni öldüren	Al-Mumiet	der, in dessen Hand der Tod ist	Al-Mumit	The Taker of Life
الْحَيُّ	El-Hayy	Ölmeyen, diri olan	Al-Haiy	der aus sich selbst Lebende	Al-Hayy	The Ever Living One
الْقَيُّومُ	El-Kayyûm	Bütün eşya kendi varlığı ile kaim olan	Al-Qayum	der allein Stehende, der Ewige	Al-Qayyum	The Self-Existing One
الْوَاجِدُ	El-Vâcid	En zengin olan	Al-Waadschid	der alles Bekommende und Findende	Al-Wajid	The Finder
الْمَاجِدُ	El-Mâcid	Nimetleri ve ihsanı sonsuz olan	Al-Maadschid	der Ruhmvolle	Al-Májid	The Glorious
الْواحِدُ	El-Vâhid	Zatında ortağı olmayan tek	Al-Waahid	der Eine, der niemanden neben sich hat	Al-Wahid	The Only One
الصَّمَدُ	El-Samed	Herşeyin kendisine muhtaç olduğu zat	As-Samad	der von allem und jedem Unabhängige	As-Samad	The Satisfier of All Needs
الْقَادِرُ	El-Kādir	Kudret sahibi	Al-Quadir	der zu allem Fähige, der Besitzer aller Macht und Autorität	Al-Qadir	The All Powerful
الْمُقْتَدِرُ	El-Muktedir	Herşeye gücü yeten	Al-Muqtadir	der alles Bestimmende	Al-Muqtadir	The Creator of All Power
الْمُقَدِّمُ	El-Mukaddim	Dilediğini öne alan	Al-Muqaddim	der Voranstellende	Al-Muqaddim	The Expediter
الْمُؤَخِّرُ	El-Mu'ahhir	İstediğini arkaya bırakan	Al-Mu'achir	der Aufschiebende	Al-Mu’akhkhir	The Delayer
الأوَّلُ	El-Evvel	Varlığının başlangıcı olmayan	Al-Awwal	der Erste ohne Beginn	Al-Awwal	The First
الآخِرُ	El-Âhir	Varlığının sonu olmayan	Al-Aachir	der Letzte ohne Ende	Al-Akhir	The Last
الظَّاهِرُ	Ez-Zâhir	Varlığı, kudretiyle aşikar olan	As-Saahir	der Offenbare, auf dessen Existenz alles Geschaffene klar hinweist	Az-Zahir	The Manifest One
الْبَاطِنُ	El-Bâtın	Mahiyeti gizli olan	Al-Baatin	der Verborgene, den niemand wirklich begreifen kann	Al-Batin	The Hidden One
الْوَالِي	El-Vâlî	Kainatın tek yöneticisi	Al-Waali	der einzige und absolute Herrscher	Al-Walí	The Protecting Friend
الْمُتَعَالِي	El-Müteâli	İzzet ve şeref bakımından en yüce olan	Al-Muta'aali	der Reine, der Hohe	Al-Muta’ali	The Supreme One
الْبَرُّ	El-Berr	Bütün iyilik ve güzelliğin sahibi	Al-Barr	der Gute	Al-Barr	The Doer of Good
التَّوابُ	El-Tevvâb	Tövbeleri kabul eden	Al-Tawwab	der die Reue seiner Diener Annehmende	At-Tawwab	The Guide to Repentance
الْمُنْتَقِمُ	El-Müntakim	Suçluları gerektiği gibi cezalandıran	Al-Muntaqim	der gerechte Vergelter	Al-Muntaqim	The Avenger
العَفُوُّ	El-Afüv	Affeden	Al-Afwu	der Vergeber der Sünden	Al-Afu	The Forgiver
الرَّؤُوفُ	Er-Ra'ûf	Çok şefkatli olan	Ar-Ra'uf	der Mitleidige	Ar-Ra’uf	The Clement
مَالِكُالْمُلْكِ	Mâlik-ül Mülk	Kainatın tek sahibi	Malik-ul-Mulk	Inhaber aller Reichtümer 	Malik al-Mulk	The Owner of All
ذُوالْجَلاَلِوَ الإكْرَامِ	Zülcelâl-i vel-İkrâm	Büyüklük ve kerem sahibi	Sul-Dschalali-wal-Ikram	derjenige, dem Majestät und Ehre gebühren	Dhul-Jalali Wal-Ikram	The Lord of Majesty and Bounty
الْمُقْسِطُ	El-Muksit	Adaletle hükmeden	Al-Muqsit	der unparteiisch Richtende	Al-Muqsit	The Equitable One
الْجَامِعُ	El-Câmi	Güzellikleri zatında, kullarını ahırette toplayan	Al-Dschaami'	der Versammelnde, der alle Menschen am jüngsten Tag versammeln wird	Al-Jami	The Gatherer
الْغَنِيُّ	El-Ganî	Zenginlikte herşeyin kendisine muhtaç olduğu zat	Al-Ghany	der Reiche, der niemanden braucht	Al-Ghani	The Rich One
الْمُغْنِي	El-Muğnî	Dilediğini zengin kılan	Al-Mughni	der Verleiher der Reichtümer	Al-Mughni	The Enricher
ُالمَانِعُ	El-Mâni	Kötülüklere mani olan	Al-Mani'	der Zurückweisende	Al-Mani’	The Preventer of Harm
الضَّارَّ	Ed-Dâr	Zarar veren şeyleri de yaratan	Ad-Dhar	der Schaden zufügende	Ad-Darr	The Creator of The Harmful
النَّافِعُ	En-Nâfi	Fayda veren şeyleri yaratan	An-Naafi'	der Vorteil gebende	An-Nafi	The Creator of Good
النُّورُ	En-Nûr	Nurlandıran	An-Nur	das Licht	An-Nur	The Light
الْهَادِي	El-Hâdî	Hidayete erdiren	Al-Hadi	der Leitung gebende	Al-Hadi	The Guide
الْبَدِيعُ	El-Bedî	Örneksiz, eşsiz yaratan	Al-Badi'	der Schöpfer des Neuen	Al-Badi	The Originator
الْبَاقِِي	El-Bâkî	Ebedi olan	Al-Baaqi	der ewig Bleibende	Al-Baqi	The Everlasting One
الْوَارِثُ	El-Vâris	Herşey yok olunca diri kalacak olan	Al-Waarith	der einzige Erbe, denn außer ihm ist nichts beständig	Al-Warith	The Inheritor of All
الرَّشِيدُ	Er-Reşîd	Doğru yola ileten	Ar-Raschied	der Führung gebende	Ar-Rashid	The Righteous Teacher
الصَّبُورُ	Es-Sabûr	Çok sabırlı olan	As-Sabur	der Geduldige.	As-Sabur	The Patient One